layer,macro,f1_lie,f1_mistake,f1_truth
0,0.7082495938041976,0.9912253370334456,0.5726962030355244,0.5608272413436226
1,0.7057125993898342,0.9887419430446501,0.5838071540298974,0.5445887010949549
2,0.7184086281507683,0.9924840814094301,0.5966170586665966,0.566124744376278
3,0.7049758104385214,0.9887413496197975,0.5772987143176698,0.5488873673780967
4,0.706700570916614,0.9811151504226254,0.5799391647057365,0.5590473976214797
5,0.7163232380959057,0.9849047590433841,0.591981939380364,0.5720830158639688
6,0.7087712191056048,0.981050657265507,0.5934403911713962,0.5518226088799112
7,0.7103245581228709,0.983453348971995,0.5906276895697535,0.5568926358268641
8,0.7123577207617032,0.9812207774823811,0.5995327565699393,0.5563196282327892
9,0.7263680817958448,0.9886622225738814,0.6113073241859042,0.5791346986277489
10,0.7250043937779841,0.9911630225391808,0.6026867971676,0.5811633616271716
11,0.7284864079781097,0.9898727153690411,0.6092035896879536,0.5863829188773344
12,0.7306345798865097,0.9898883409794165,0.607978146276051,0.594037252404062
13,0.7384530942192008,0.9911466007193596,0.6227380182827178,0.6014746636555255
14,0.735332904941791,0.9936944728359147,0.6161049838346266,0.5961992581548318
15,0.7504031418988308,0.994968256770315,0.6438629258237872,0.6123782431023902
16,0.740397872627086,0.9949367088607595,0.6194611689732249,0.6067957400472738
17,0.7428303336689757,0.9962104927951596,0.6256312227490124,0.6066492854627551
18,0.755790401197037,0.9962104927951596,0.6465639619603587,0.6245967488355928
19,0.748279608819653,1.0,0.6318782246499388,0.6129606018090205
20,0.7350814796997219,0.9987421383647799,0.6167832680728573,0.5897190326615286
21,0.7351018557903183,0.9987421383647799,0.617855025878978,0.588708403127197
22,0.7309831177906685,0.9949366074448411,0.6125385118025954,0.5854742341245689
23,0.7250879875170169,0.9949366074448411,0.6019438776429777,0.5783834774632319
24,0.7235229027649602,0.9949201741654573,0.5983480279548926,0.5773005061745307
25,0.7328754007179143,0.9962103913792413,0.6152178493156708,0.5871979614588311
26,0.7312974449252269,0.9987421383647799,0.6086193464962903,0.5865308499146102
27,0.7300045344667009,0.9987421383647799,0.6098504385025205,0.5814210265328023
