layer,auroc,f1_macro,n_samples,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth
0,0.9499065769397262,0.9106451751663536,7403,0.9171294753379746,0.9041608749947324,3641,0.9489184258535314,196,0.05108157414646859,462,0.12955692652832304,3104,0.8704430734716769
1,0.9587337486970597,0.9190662370505174,7403,0.9249206868459986,0.913211787255036,3671,0.9567370341412562,166,0.04326296585874381,430,0.12058328659562535,3136,0.8794167134043747
2,0.96554931654727,0.9205063546724171,7403,0.9256728313134633,0.915339878031371,3649,0.9510033880635913,188,0.048996611936408654,398,0.11160964666292765,3168,0.8883903533370724
3,0.9656569978790998,0.9206121911652438,7403,0.9259907678271511,0.9152336145033366,3660,0.9538702111024238,177,0.046129788897576234,408,0.11441390914189568,3158,0.8855860908581044
4,0.9696217163199599,0.9280144649720374,7403,0.9323064726192699,0.923722457324805,3657,0.9530883502736512,180,0.04691164972634871,351,0.0984296130117779,3215,0.9015703869882221
5,0.9719523968826296,0.934680566811659,7403,0.9383735638432794,0.9309875697800386,3670,0.9564764138649987,167,0.043523586135001305,315,0.08833426808749299,3251,0.911665731912507
6,0.9705172083560389,0.9290959702017509,7403,0.9333489297246139,0.9248430106788881,3662,0.9543914516549388,175,0.04560854834506125,348,0.0975883342680875,3218,0.9024116657319126
7,0.9737273851955333,0.9329260094841587,7403,0.9366393888969105,0.929212630071407,3659,0.9536095908261663,178,0.046390409173833726,317,0.0888951205832866,3249,0.9111048794167134
8,0.9781631096745034,0.9379543500003671,7403,0.9412664077541711,0.9346422922465629,3670,0.9564764138649987,167,0.043523586135001305,291,0.08160403813796971,3275,0.9183959618620303
9,0.9842181785468407,0.9486743588156108,7403,0.9512453767214533,0.9461033409097684,3698,0.9637737816002085,139,0.0362262183997915,240,0.06730229949523275,3326,0.9326977005047672
10,0.986250494278125,0.9496246772278953,7403,0.9521259234439938,0.9471234310117967,3700,0.9642950221527234,137,0.03570497784727652,235,0.06590016825574874,3331,0.9340998317442513
11,0.987462237664972,0.9512487592030905,7403,0.9536724100407378,0.9488251083654433,3706,0.9658587438102685,131,0.03414125618973156,229,0.06421761076836792,3337,0.935782389231632
12,0.98899015762813,0.9541031244550247,7403,0.9562835018139679,0.9519227470960813,3708,0.9663799843627834,129,0.033620015637216574,210,0.05888951205832866,3356,0.9411104879416713
13,0.9908653431524963,0.9580274861350451,7403,0.9600474338022298,0.9560075384678605,3725,0.9708105290591608,112,0.029189470940839197,198,0.055524397083567024,3368,0.944475602916433
14,0.9920574699472823,0.9596532148591548,7403,0.9615745834398609,0.9577318462784488,3730,0.9721136304404483,107,0.027886369559551732,191,0.0535614133482894,3375,0.9464385866517105
15,0.9935778288347284,0.9634446955875796,7403,0.9651816567099714,0.9617077344651879,3742,0.9752410737555381,95,0.02475892624446182,175,0.04907459338194055,3391,0.9509254066180595
16,0.9935320581378038,0.9618240912603206,7403,0.9635962407164589,0.9600519418041824,3732,0.9726348709929633,105,0.027365129007036748,177,0.049635445877734156,3389,0.9503645541222658
17,0.993506008999694,0.9623647814560468,7403,0.9641243064333924,0.960605256478701,3734,0.9731561115454782,103,0.02684388845452176,175,0.04907459338194055,3391,0.9509254066180595
18,0.9947213804002718,0.962363618189588,7403,0.9641265768677147,0.9606006595114612,3735,0.9734167318217357,102,0.026583268178264268,176,0.049355019629837356,3390,0.9506449803701627
19,0.9959646670510484,0.9648082403068468,7403,0.966376241091357,0.9632402395223366,3736,0.9736773520979932,101,0.026322647902006776,159,0.0445877734155917,3407,0.9554122265844083
20,0.9958503458427217,0.9641227018827366,7403,0.9658159775892831,0.9624294261761902,3743,0.9755016940317957,94,0.024498305968204327,171,0.04795288839035334,3395,0.9520471116096466
21,0.9954186405082346,0.9635756136013554,7403,0.9653557174370004,0.9617955097657104,3747,0.9765441751368257,90,0.023455824863174355,179,0.050196298373527765,3387,0.9498037016264722
22,0.9949103920668708,0.9641243738060605,7403,0.9657980668597416,0.9624506807523794,3741,0.9749804534792806,96,0.02501954652071931,169,0.04739203589455973,3397,0.9526079641054402
23,0.9947149502972179,0.9629010827272795,7403,0.9646792569896041,0.9611229084649547,3742,0.9752410737555381,95,0.02475892624446182,179,0.050196298373527765,3387,0.9498037016264722
24,0.9940520973596865,0.9618139035921534,7403,0.9636883980116682,0.9599394091726386,3742,0.9752410737555381,95,0.02475892624446182,187,0.05243970835670219,3379,0.9475602916432978
25,0.9938695821811809,0.9608689794904454,7403,0.9627553190812581,0.9589826398996326,3736,0.9736773520979932,101,0.026322647902006776,188,0.05272013460459899,3378,0.947279865395401
26,0.9933830807476204,0.958825827251358,7403,0.9609437081123552,0.9567079463903608,3740,0.9747198332030232,97,0.025280166796976804,207,0.05804823331463825,3359,0.9419517666853617
27,0.9916992778315645,0.9562528353574293,7403,0.9584899249785988,0.9540157457362598,3730,0.9721136304404483,107,0.027886369559551732,216,0.06057206954570948,3350,0.9394279304542905
